COMPLETE LIST OF POWER PLANTS IN INDIA (3801 Total)
================================================================================


--- ANDAMAN AND NICOBAR ---
1. NTPC 5 MW Solar Photo-Voltaic | Type: solar | Capacity: 5.0 MW
2. Port Blair Tehsil Solar Plant | Type: solar | Capacity: 0 MW
3. Port Blair Tehsil Solar Plant | Type: solar | Capacity: 0 MW
4. Port Blair Tehsil Solar Plant | Type: solar | Capacity: 0 MW
5. Port Blair Tehsil Solar Plant | Type: solar | Capacity: 0 MW

--- ANDHRA PRADESH ---
6. 1.5 MW Grid Interactive Solar Power Project | Type: solar | Capacity: 1.5 MW
7. 25 MWP Solar Power Plant , Tarlupadu | Type: solar | Capacity: 21.0 MW
8. Achampet | Type: solar | Capacity: 5.0 MW
9. Achampet Solarpack | Type: solar | Capacity: 15.0 MW
10. Achampet Suzlon | Type: solar | Capacity: 15.0 MW
11. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
12. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
13. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
14. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
15. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
16. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
17. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
18. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
19. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
20. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
21. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
22. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
23. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
24. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
25. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
26. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
27. Addakal mandal Solar Plant | Type: solar | Capacity: 0 MW
28. Ahalia Arkha Solar Power Private Limited | Type: solar | Capacity: 0 MW
