State/union territory_State/union territory_Western Region,Fossil (thermal power) (in MW)_Coal_83271.01,Fossil (thermal power) (in MW)_Lignite_1400,Fossil (thermal power) (in MW)_Gas_9399.39,Fossil (thermal power) (in MW)_Diesel_-,Fossil (thermal power) (in MW)_Sub-total thermal_94070.40,Non-fossil (clean power) (in MW)_Nuclear_3240,Non-fossil (clean power) (in MW)_Large hydro_7392,Non-fossil (clean power) (in MW)_Small hydro_722.24,Non-fossil (clean power) (in MW)_Wind_24191.10,Non-fossil (clean power) (in MW)_Biopower_3574.72,Non-fossil (clean power) (in MW)_Solar_51298.23,Non-fossil (clean power) (in MW)_Sub-total non-fossil_90418.29,Total (in MW)_Total (in MW)_184488.69,% of national total_% of national total_35.91%,% of clean power in capacity_% of clean power in capacity_49%
Gujarat,14692,1400,6580.31,-,22672.31,1840,1990,113.30,14820.94,129.85,25529.4,43817.58,66489.89,12.94%,65.88%
Maharashtra,23316.01,-,2819.08,-,26135.09,1400,3047,384.28,5822.01,2998.30,18060.95,31712.54,57847.63,11.26%,54.82%
Madhya Pradesh,21170,-,-,-,21170,-,2235,123.71,3548.15,155.46,5817.54,11879.86,33049.86,6.43%,35.94%
Chhattisgarh,24093,-,-,-,24093,-,120,100.90,-,285.42,1689.5,2195.82,26288.82,5.12%,8.35%
Dadra and Nagar Haveli and Daman and Diu,-,-,-,-,-,-,-,-,-,3.75,129.4,133.15,133.15,0.03%,100%
Goa,-,-,-,-,-,-,-,0.05,-,1.94,71.44,73.43,73.43,0.01%,100%
Southern Region,44935,3640,3346.11,460.49,52381.60,3320,13596.15,1938.48,25086.38,3781.86,35897.57,83669.75,136051.35,26.48%,61.51%
Tamil Nadu,10522.50,3640,844.58,211.70,15218.78,2440,2203.20,123.05,12075.34,1046.62,11664.81,29602.33,44821.11,8.72%,66.03%
Karnataka,9480,-,370.05,25.20,9875.25,880,3689.20,1284.73,8413.64,1917.05,10679.01,26863.63,36738.88,7.15%,73.08%
Andhra Pradesh,13890,-,1739.40,36.80,15666.20,-,3290,164.51,4397.78,594.02,6389.27,14835.58,30501.78,5.94%,48.64%
Telangana,11042.50,-,-,-,11042.50,-,2405.60,89.67,128.10,221.67,5051.7,7896.74,18939.24,3.69%,41.69%
Kerala,-,-,359.58,159.96,519.54,-,2008.15,276.52,71.52,2.50,2031.8,4390.49,4910.03,0.96%,89.42%
Puducherry,-,-,32.50,-,32.50,-,-,-,-,-,74.41,74.41,106.91,0.02%,69.62%
Lakshadweep,-,-,-,26.83,26.83,-,-,-,-,-,6.57,6.57,33.4,0.01%,19.67%
Northern Region,50269,1580,5711.96,-,57560.96,2220,21665.77,1794.30,5229.15,3663.94,46291.9,80866.23,138427.19,26.95%,58.40%
Rajasthan,9244,1580,1022.83,-,11846.83,1780,412.5,23.85,5229.15,207.52,36658.35,44311.37,56158.2,10.93%,78.90%
Uttar Pradesh,30015,-,1493.14,-,31508.14,440,501.60,50.60,-,2310.39,3822.68,7125.27,38633.41,7.52%,18.44%
Himachal Pradesh,-,-,-,-,-,-,11421.02,1000.71,-,10.20,346.28,12778.21,12778.21,2.49%,100%
Punjab,5680,-,-,-,5680,-,1096.30,176.10,-,576.59,1554.81,3403.8,9083.8,1.77%,37.48%
Haryana,5330,-,431.59,-,5761.59,-,-,73.50,-,325.67,2512.96,2912.13,8673.72,1.69%,33.58%
Uttarakhand,-,-,664,-,664,-,4785.35,233.82,-,149.57,837.89,6006.63,6670.63,1.30%,89.99%
Jammu and Kashmir,-,-,-,-,-,-,3360,189.93,-,-,79.48,3629.41,3629.41,0.71%,100%
Delhi,-,-,2100.40,-,2100.40,-,-,-,-,84,389.2,474.37,2574.77,0.50%,18.42%
Ladakh,-,-,-,-,-,-,89,45.79,-,-,11.4,146.19,146.19,0.03%,100%
Chandigarh,-,-,-,-,-,-,-,-,-,-,78.85,78.85,78.85,0.02%,100%
Eastern Region,40385,-,-,92.71,40477.71,-,5987.75,374.24,-,576.44,1794.03,8722.46,49210.17,9.57%,17.73%
West Bengal,13235,-,-,-,13235,-,1341.20,98.50,-,351.86,320.62,2112.18,15347.18,2.99%,13.76%
Odisha,9950,-,-,-,9950,-,2154.55,140.63,-,64.22,763.02,3122.42,13072.42,2.54%,23.88%
Bihar,10170,-,-,-,10170,-,-,70.70,-,140.22,435.34,646.26,10816.26,2.11%,5.97%
Jharkhand,7030,-,-,-,7030,-,210,4.05,-,20.14,235.77,469.98,7499.96,1.46%,6.27%
Sikkim,-,-,-,-,-,-,2282,55.11,-,-,7.56,2344.67,2344.67,0.47%,100%
Andaman and Nicobar Islands,-,-,-,92.71,92.71,-,-,5.25,-,-,31.72,36.97,129.68,0.03%,28.52%
North-Eastern Region,750,-,1664.95,36,2450.95,-,2273,329.35,-,15.80,489.2,3101.36,5552.31,1.08%,55.86%
Assam,750,-,597.36,-,1347.36,-,346,34.11,-,2,375.91,758.02,2105.38,0.41%,36.01%
Arunachal Pradesh,-,-,-,-,-,-,1365,140.61,-,-,15.44,1521.05,1521.05,0.30%,100%
Tripura,-,-,1067.60,-,1067.60,-,-,16.01,-,-,35.02,51.03,1118.63,0.22%,4.56%
Meghalaya,-,-,-,-,-,-,322,55.03,-,13.80,4.28,395.11,395.11,0.1%,100%
Manipur,-,-,-,36,36,-,105,5.45,-,-,17.52,127.97,163.97,0.03%,78.07%
Mizoram,-,-,-,-,-,-,60,45.47,-,-,31.39,137.16,137.16,0.03%,100%
Nagaland,-,-,-,-,-,-,75,32.67,-,-,3.34,111.01,111.01,0.02%,100%
Total,219610.01,6620,20122.41,589.20,246941.62,8780,50914.66,5158.61,54510.93,11613.93,135809.95,266788.08,513729.7,100.00%,51.93%
