name,type,capacity_mw,operator,state,osm_id,lng,lat
Varahi underground Powerhouse,hydro,460.0,Karnataka Power Corporation Limited,Karnataka,node/1659317774,74.9991507,13.7030919
Thathri Hydel Plant,hydro,0,Unknown,Himachal Pradesh,node/2377020712,76.3661909,32.2306755
Chibro Power Plant,hydro,240.0,Uttarakhand Jal Vidyut Nigam Limited,Himachal Pradesh,node/3886020110,77.7968301,30.5570903
Uri I,hydro,480.0,NHPC Limited,Jammu and Kashmir,node/4190775707,74.0688891,34.1141588
Uri II,hydro,240.0,NHPC Limited,Jammu and Kashmir,node/4190775708,73.97745,34.1039654
Dul Hasti Hydroelectric Plant,hydro,390.0,NHPC Limited,Jammu and Kashmir,node/4194369572,75.762121,33.2868857
Barahi Main Power Station,coal,40.0,Haryana Power Generation Corporation,Haryana,node/4976487056,76.8953483,28.7340981
Mini Power Station (Barahi),coal,10.0,Haryana Power Generation Corporation,Haryana,node/4976496445,76.8953765,28.7341159
Unnamed Hydro Plant,hydro,0,Unknown,Andhra Pradesh,node/6547533986,79.9681565,15.9750092
Pench hydro power station,hydro,160.0,Madhya Pradesh Power Generating Company Limited,Maharashtra,node/7681010891,79.2355603,21.6558577
Idukki hydro power station,hydro,780.0,Kerala State Electricity Board,Kerala,node/7685398338,76.8596246,9.7892706
Kishanganga Hydroelectric Plant,hydro,330.0,NHPC Limited,Jammu and Kashmir,node/7688030332,74.6448791,34.4635286
Roorkee Power Plant,hydro,0,Unknown,Uttaranchal,node/7847783226,77.860741,29.7035452
Sawra Kuddu hydro power station,hydro,111.0,HPSEB,Uttaranchal,node/8681472939,77.8225297,31.055959
Hydro plant,hydro,3.0,Himachal Pradesh State Electricity Board,Himachal Pradesh,node/8689595734,76.3005622,32.2794897
Hydro power,hydro,3.0,Himachal Pradesh State Electricity Board,Himachal Pradesh,node/8764485697,76.3028006,32.2922141
Sanjay Vidyut hydro power station,hydro,120.0,SJVN Limited,Himachal Pradesh,node/9378529623,77.9904419,31.5638104
PUSHEP,hydro,150.0,TANGEDCO,Tamil Nadu,node/9546484166,76.6008666,11.5227616
Maithon hydroelectric power station,hydro,63.2,DVC (Damodar Valley Corporation),West Bengal,node/9547812640,86.818955,23.7883063
Allian Duhangan Hydroelectric Power Plant,hydro,192.0,ADHPL,Himachal Pradesh,node/9567062291,77.2065604,32.2251954
Kadamparai Hydroelectric Power Plant,hydro,400.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,node/9567098999,77.0433748,10.410421
Naitwar Mori Hydro Power Station,hydro,60.0,SJVN,Uttaranchal,node/13345181398,78.0600393,31.0417705
Triveni Power Plant,hydro,120.0,Triveni Engineering,Bihar,node/13358835717,83.9137358,27.4161431
Ennore SEZ Super Critical Thermal Power Project (Vayalur),coal,1600.0,TANGEDCO,Tamil Nadu,way/25850550,80.310264,13.2823822
Basin Bridge Gas Turbine Power Station,gas,120.0,Tamil Nadu State Electricity Board,Tamil Nadu,way/28342737,80.2697294,13.0981662
Deenbandhu Chhotu Ram Thermal Power Station,coal,600.0,Haryana Power Generation Corporation Limited,Haryana,way/28396309,77.3264173,30.1054227
AMGEN,coal,362.0,Torrent Power,Gujarat,way/29492754,72.5933046,23.071342
Ennore Thermal Power Station,coal,450.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,way/30738573,80.3094811,13.1995006
East Coast Energies PVT LTD,coal,0,East Coast Energies Pvt Ltd,Andhra Pradesh,way/60793406,84.2458941,18.5268906
Faridabad Thermal Power Plant,gas,430.0,NTPC,Haryana,way/65453989,77.3599278,28.3454961
Kota Thermal Power Station,coal,1240.0,Rajasthan Rajya Vidyut Utpadan Nigam,Rajasthan,way/67195450,75.8144493,25.1709673
Obra Thermal Power Station,coal,2320.0,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/77160913,82.9815099,24.450833
Rithala Power Plant,gas,108.0,Indraprastha Power Generation Company (IPGCL),Delhi,way/78542610,77.101785,28.7330743
Kolaghat Power Plant,coal,840.0,West Bengal Power Development Corporation,West Bengal,way/84517895,87.8713127,22.4178163
Sarai Sadi,solar,0.1,Unknown,Uttar Pradesh,way/88004014,83.5020951,26.0844504
Angul Smelter power station,coal,1200.0,National Aluminum Co Ltd,Orissa,way/90989998,85.1937858,20.8531792
Mini Power Plant,hydro,0,Unknown,Punjab,way/97363540,75.8337837,30.7831379
Madras Atomic Power Station,nuclear,440.0,Nuclear Power Corporation of India (NPCIL),Tamil Nadu,way/98366375,80.1723948,12.5570495
Chandrapur Super Thermal Power Station,coal,2920.0,Maharashtra State Power Generation Company,Maharashtra,way/101962605,79.2888777,19.9995167
North Chennai Thermal Station,coal,1830.0,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu,way/102546589,80.3277584,13.2489467
Diesel Captive Power Station,gas,0,Unknown,Karnataka,way/102654158,77.5713988,13.0162917
Dadri Powerplant,coal,2637.0,NTPC,Uttar Pradesh,way/103170709,77.6157433,28.5926623
Narora Atomic Power Station,nuclear,440.0,Nuclear Power Corporation of India (NPCIL),Uttar Pradesh,way/104567860,78.4079725,28.1553228
Suratgarh Super Thermal Power Plant,coal,2820.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd,Rajasthan,way/104805106,74.0173417,29.1716299
Khara Power Plant,hydro,72.0,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,Uttar Pradesh,way/105646132,77.6017407,30.350802
Aswapuram Heavy Water Plant,coal,0,Heavy Water Board,Andhra Pradesh,way/109386335,80.8522557,17.8788322
Farakka Super Thermal Power Station,coal,2100.0,NTPC,West Bengal,way/114812765,87.8937874,24.773986
Wanakbori Thermal Power Station,coal,2270.0,Gujarat State Electricity Corporation Limited,Gujarat,way/116801207,73.361373,22.8730665
Dahanu Thermal Power Station,coal,500.0,Adani Power,Maharashtra,way/116833091,72.7504785,19.953102
Unnamed Unknown Plant,unknown,0,Unknown,West Bengal,way/116968190,88.3685924,22.6243778
Santhaldih,coal,500.0,West Bengal Power Development Corporation,West Bengal,way/117033098,86.4662777,23.602324
Chandrapura Thermal Power Station,coal,500.0,Damodar Valley Corporation,Jharkhand,way/117580758,86.1231162,23.7379135
Durgapur Projects Limited Power Station,coal,550.0,DPL (Durgapur Projects Ltd),West Bengal,way/118649859,87.3040458,23.5182601
Mejia Thermal Power Station,coal,2340.0,Damodar Valley Corporation,West Bengal,way/118746349,87.1366381,23.460457
Kotla Power House,hydro,77.34,Bhakra Beas Management Board,Punjab,way/122030564,76.5491663,31.2131453
Anandpur Sahib Power House I,hydro,67.0,Punjab State Power Corporation,Punjab,way/122030566,76.493939,31.2713678
Ganguwal Power House,hydro,76.39,Bhakra Beas Management Board,Punjab,way/122030588,76.4920627,31.2677387
Mukerian Hydel Project III,hydro,58.5,Punjab State Power Corporation,Punjab,way/122316765,75.7129393,31.9547532
Pong Dam power house,hydro,396.0,Bhakra Beas Management Board,Himachal Pradesh,way/122316766,75.9425648,31.9671499
Guru Hargobind Thermal Plant,coal,920.0,Punjab State Power Corporation,Punjab,way/124655029,75.1706868,30.2631745
